Campaign_ID,Campaign_Type,Target_Audience,Channel_Used,Language,Customer_Segment,campaign_date,Duration,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Engagement_Score
NY-CMP-1174,Influencer,"Tier 2 City Customers","Email, Instagram, Facebook",Hindi,"Premium Shoppers",2024-08-10,29,43779,6115,2546,830,486380,147.54,2.97,21.68
NY-CMP-1175,Email,"Premium Shoppers","Google, Email",Bengali,"Working Women",2025-01-06,24,86278,8468,2627,894,313794,209.55,0.68,13.9
NY-CMP-1176,"Social Media","Premium Shoppers","YouTube, WhatsApp",Tamil,Youth,2025-05-27,21,76182,5221,1153,369,255717,457.74,0.51,8.85
NY-CMP-1177,SEO,"Working Women","WhatsApp, Instagram, Email",English,"Tier 2 City Customers",2025-05-31,6,19321,2135,842,668,315296,288.51,0.64,18.87
NY-CMP-1178,"Social Media","Tier 2 City Customers",Instagram,Tamil,Youth,2025-02-03,11,84073,8987,2501,1391,299065,200.36,0.07,15.32
NY-CMP-1179,"Paid Ads","College Students",WhatsApp,Bengali,"Working Women",2024-11-14,12,65938,3288,787,503,308842,584.84,0.05,6.94
NY-CMP-1180,Email,"Working Women","Email, Instagram",Hindi,"Premium Shoppers",2025-03-05,15,74125,2515,789,398,280988,169.17,3.17,4.99
NY-CMP-1181,SEO,"College Students","YouTube, Facebook, WhatsApp",Hindi,"Working Women",2024-08-11,14,25506,1598,642,445,208260,621.85,-0.25,10.53
NY-CMP-1182,Email,"Tier 2 City Customers","Email, Facebook, WhatsApp",Tamil,"College Students",2025-04-07,9,10381,1025,243,165,96690,1097.96,-0.47,13.8
NY-CMP-1183,Email,"Premium Shoppers",WhatsApp,Hindi,"Working Women",2024-12-31,6,90785,7279,3900,2596,1056572,43.42,8.37,15.17
NY-CMP-1184,Email,Youth,"Facebook, YouTube, Email",Tamil,Youth,2025-02-27,25,60728,6390,3134,1810,1134870,110.2,4.69,18.66
NY-CMP-1185,"Social Media","Working Women",Instagram,Tamil,"Premium Shoppers",2025-06-12,7,16698,556,128,57,42123,3507.65,-0.79,4.44
NY-CMP-1186,Email,"Premium Shoppers","Email, YouTube",Bengali,"Premium Shoppers",2024-09-20,20,97242,14022,3371,2067,824733,26.59,14,20.01
NY-CMP-1187,SEO,"Premium Shoppers","Email, Google",English,"Tier 2 City Customers",2025-02-03,24,90982,3250,1622,1245,750735,142.18,3.24,6.72
NY-CMP-1188,"Paid Ads","Working Women","Google, YouTube, Facebook",Tamil,"Tier 2 City Customers",2024-11-29,26,32842,4033,1838,1444,1121988,191.29,3.06,22.27
NY-CMP-1189,"Social Media",Youth,"Google, Email, YouTube",Tamil,"Premium Shoppers",2025-05-05,28,32021,3377,1323,474,179172,395.56,-0.04,16.16
NY-CMP-1190,SEO,Youth,YouTube,English,"College Students",2024-11-16,15,36796,1581,774,302,89392,638.87,-0.54,7.22
NY-CMP-1191,Email,"College Students","Google, WhatsApp",Bengali,"Tier 2 City Customers",2025-06-07,9,12688,1029,579,357,234906,684.03,-0.04,15.49
NY-CMP-1192,"Social Media","Working Women",Email,Tamil,Youth,2025-05-17,21,84359,11028,3084,1901,1186224,40.64,14.35,18.98
NY-CMP-1193,"Social Media","Working Women","WhatsApp, YouTube, Facebook",Bengali,"College Students",2025-04-18,9,52151,4951,1155,718,464546,255.1,1.54,13.09
NY-CMP-1194,Influencer,"Premium Shoppers","Email, Instagram",English,"Premium Shoppers",2025-05-27,7,99006,13901,5326,2649,1491387,22.58,23.93,22.1
NY-CMP-1195,Influencer,"College Students",Google,Tamil,"Tier 2 City Customers",2025-02-22,9,16548,1532,717,505,111100,231.54,-0.05,16.64
NY-CMP-1196,SEO,"College Students",Facebook,English,"Tier 2 City Customers",2025-05-30,16,82471,5797,3251,1940,1369640,101.63,5.95,13.32
NY-CMP-1197,"Social Media","Premium Shoppers","Email, Google, WhatsApp",English,Youth,2024-08-29,13,74621,4124,1052,353,110489,414.62,-0.25,7.41
NY-CMP-1198,"Paid Ads","Premium Shoppers","Google, Instagram",Tamil,Youth,2025-03-16,12,60166,7720,3135,1375,723250,184.29,1.85,20.33
NY-CMP-1199,Influencer,"Working Women",Instagram,Tamil,"Working Women",2025-05-11,14,23232,1381,498,269,101413,931.68,-0.6,9.25
NY-CMP-1200,Influencer,Youth,"YouTube, Email",English,Youth,2025-02-28,14,61590,3296,700,331,241299,606.17,0.2,7.03
NY-CMP-1201,SEO,"Tier 2 City Customers",Instagram,Tamil,"Tier 2 City Customers",2024-08-01,25,45557,3992,1691,995,584065,291.77,1.01,14.66
NY-CMP-1202,Influencer,Youth,Google,Hindi,"Working Women",2025-03-09,20,75362,2209,1054,805,509565,355.08,0.78,5.4
NY-CMP-1203,"Paid Ads","Premium Shoppers",Instagram,English,"Working Women",2024-07-29,5,18060,1179,300,113,23504,2337.42,-0.91,8.82
NY-CMP-1204,SEO,"College Students","Instagram, Email",Hindi,"College Students",2024-08-24,26,64756,8778,2316,1252,373096,85.43,2.49,19.07
NY-CMP-1205,"Paid Ads","Premium Shoppers","YouTube, Email, Instagram",English,"Premium Shoppers",2025-01-21,7,80324,5248,2799,1801,506081,35.88,6.83,12.26
NY-CMP-1206,SEO,Youth,WhatsApp,Hindi,"Premium Shoppers",2025-04-14,25,87064,3404,1029,342,144666,375.62,0.13,5.48
NY-CMP-1207,"Social Media","College Students",Facebook,Tamil,Youth,2024-10-31,27,83040,4982,1900,1479,535398,130.18,1.78,10.07
NY-CMP-1208,"Paid Ads","Working Women","Instagram, WhatsApp, Google",Bengali,Youth,2024-09-06,30,43489,1996,1016,587,142641,379.31,-0.36,8.28
NY-CMP-1209,Influencer,"Tier 2 City Customers","YouTube, WhatsApp, Instagram",Tamil,"Working Women",2025-04-26,14,63461,1321,748,494,186732,499.56,-0.24,4.04
NY-CMP-1210,"Paid Ads","Working Women","Email, Facebook, Instagram",Bengali,"Tier 2 City Customers",2025-02-24,21,98384,13210,3339,1900,1003200,147.05,2.59,18.75
NY-CMP-1211,"Paid Ads","College Students",Google,Tamil,Youth,2024-09-09,13,73082,2876,1648,1153,726390,142.95,3.41,7.77
NY-CMP-1212,"Social Media","Premium Shoppers",WhatsApp,Bengali,"Tier 2 City Customers",2025-04-13,17,17785,1035,373,284,59072,258.37,-0.19,9.51
NY-CMP-1213,"Paid Ads",Youth,"Facebook, Instagram",Bengali,"Premium Shoppers",2024-07-29,19,58685,7497,3204,1036,384356,171.2,1.17,20
NY-CMP-1214,"Social Media","College Students","Facebook, Email",Hindi,"Tier 2 City Customers",2024-07-24,23,69000,7302,2144,1012,713460,216.59,2.25,15.16
NY-CMP-1215,"Paid Ads","Tier 2 City Customers",Google,Bengali,"Premium Shoppers",2024-11-01,9,99825,11114,2938,1557,326970,119.84,0.75,15.64
NY-CMP-1216,"Social Media","Working Women",Google,Bengali,"Premium Shoppers",2025-02-08,8,71554,1805,579,460,315100,448.44,0.53,3.97
NY-CMP-1217,"Social Media","Premium Shoppers","Instagram, YouTube",Hindi,"Working Women",2025-01-15,16,51553,1928,775,394,171390,672.55,-0.35,6.01
NY-CMP-1218,Email,"College Students",Facebook,English,"Working Women",2024-09-27,16,33617,715,218,140,82600,521.24,0.13,3.19
NY-CMP-1219,"Paid Ads","Premium Shoppers",Instagram,Bengali,"Premium Shoppers",2024-09-15,12,58254,7884,2976,2182,1228466,61.71,8.12,22.39
NY-CMP-1220,SEO,"Premium Shoppers",Email,Bengali,"Working Women",2024-10-19,14,12744,682,143,74,41292,1510.23,-0.63,7.05
NY-CMP-1221,Influencer,"Tier 2 City Customers","YouTube, Email, Google",Bengali,Youth,2025-02-25,24,28660,1539,351,120,40200,1644.33,-0.8,7.01
NY-CMP-1222,Email,"Tier 2 City Customers","Facebook, Instagram, Google",English,Youth,2024-07-22,29,59513,2927,1025,382,245244,352.34,0.82,7.28
NY-CMP-1223,"Paid Ads","Tier 2 City Customers","Email, Instagram",Tamil,"Premium Shoppers",2025-05-17,18,17469,1027,357,193,119081,845.55,-0.27,9.03
NY-CMP-1224,Influencer,"Tier 2 City Customers","Facebook, Google, WhatsApp",Bengali,"Premium Shoppers",2024-09-15,13,44442,5786,1313,784,164640,87.93,1.39,17.74
NY-CMP-1225,SEO,"Tier 2 City Customers","Email, YouTube",Hindi,"Working Women",2024-09-27,11,73140,4538,1670,1298,447810,89.19,2.87,10.26
NY-CMP-1226,Influencer,"Working Women","Facebook, Instagram, YouTube",Bengali,"Premium Shoppers",2024-07-17,14,76252,10884,3263,1005,454260,195.78,1.31,19.87
NY-CMP-1227,SEO,"Tier 2 City Customers","Email, WhatsApp, Facebook",English,"College Students",2024-10-17,30,99718,14868,8876,4926,2827524,12.27,45.77,28.75
NY-CMP-1228,"Social Media","Working Women","Google, Instagram, Email",Bengali,Youth,2024-11-13,22,37252,796,167,129,69531,1806.61,-0.7,2.93
NY-CMP-1229,Influencer,"College Students",Google,Hindi,"Working Women",2025-05-22,18,51202,3810,1914,709,220499,378.23,-0.18,12.56
NY-CMP-1230,Influencer,Youth,"WhatsApp, Facebook, YouTube",Tamil,Youth,2024-08-09,24,48529,6866,3599,2478,666582,60.44,3.45,26.67
NY-CMP-1231,"Social Media",Youth,WhatsApp,English,"College Students",2024-08-14,13,19531,2269,982,371,285670,216.17,2.56,18.54
NY-CMP-1232,"Paid Ads","College Students","Facebook, Google, Email",English,Youth,2024-12-19,29,99935,3194,788,424,114056,309.29,-0.13,4.41
NY-CMP-1233,"Social Media","College Students",Email,Hindi,"Premium Shoppers",2024-09-04,9,94001,12169,3150,967,703009,123.04,4.91,17.33
NY-CMP-1234,Influencer,Youth,"WhatsApp, Email",English,"Working Women",2024-07-18,28,24636,2511,1460,1064,677768,278.38,1.29,20.44
NY-CMP-1235,Influencer,"Working Women","Instagram, Facebook, Google",Tamil,Youth,2025-02-15,6,55021,6860,3744,1344,1024128,124.11,5.14,21.72
NY-CMP-1236,Influencer,"College Students","Email, Facebook, YouTube",Bengali,"Premium Shoppers",2024-11-03,8,61797,7760,3214,1122,866184,160.33,3.82,19.57
NY-CMP-1237,"Paid Ads","Working Women","Google, Instagram",Tamil,"College Students",2025-02-17,26,37899,2425,595,227,140740,802.49,-0.23,8.57
NY-CMP-1238,"Social Media","Premium Shoppers","WhatsApp, Email, Google",English,"College Students",2025-06-03,5,84881,8195,3269,1135,676460,145.98,3.08,14.84
NY-CMP-1239,"Paid Ads","College Students","Facebook, WhatsApp",English,"Working Women",2024-07-22,21,64992,6273,2897,1523,388365,86.54,1.95,16.45
NY-CMP-1240,"Paid Ads",Youth,"Facebook, Google",Tamil,"Working Women",2025-05-18,25,84708,3733,1601,1059,321936,55.26,4.5,7.55
NY-CMP-1241,"Social Media","College Students",Google,Tamil,"Working Women",2024-12-05,30,28592,3655,1453,842,261020,293.65,0.06,20.81
NY-CMP-1242,"Paid Ads","Working Women",Email,Tamil,"Premium Shoppers",2024-11-17,20,56474,1315,761,475,162450,350.97,-0.03,4.52
NY-CMP-1243,"Social Media","Premium Shoppers","Google, Facebook, Instagram",Tamil,"College Students",2025-02-10,7,70498,8059,3823,2157,832602,68.68,4.62,19.91
NY-CMP-1244,Email,"College Students","Instagram, WhatsApp",Tamil,"Tier 2 City Customers",2024-08-21,19,14170,1123,228,100,52200,1278.38,-0.59,10.24
NY-CMP-1245,"Social Media","Premium Shoppers","YouTube, Instagram",Bengali,"Premium Shoppers",2025-01-06,30,35819,2513,1247,544,111520,324.24,-0.37,12.02
NY-CMP-1246,"Paid Ads","Working Women","WhatsApp, Instagram",Tamil,Youth,2024-08-03,12,44138,5531,1679,562,159046,399.45,-0.29,17.61
NY-CMP-1247,"Paid Ads","Working Women","WhatsApp, YouTube, Instagram",Hindi,"College Students",2025-02-19,11,60321,2514,527,339,213231,279.59,1.25,5.6
NY-CMP-1248,"Paid Ads","Tier 2 City Customers","YouTube, Instagram, WhatsApp",Tamil,"Premium Shoppers",2024-09-23,6,51089,2937,1760,1348,624124,94.97,3.88,11.83
NY-CMP-1249,Influencer,"Premium Shoppers",Email,Bengali,"Premium Shoppers",2025-02-12,6,74805,9095,2883,1924,463684,50.52,3.77,18.58
NY-CMP-1250,Influencer,Youth,"WhatsApp, Facebook",Tamil,"Working Women",2025-06-07,18,35779,5225,2594,856,259368,194.53,0.56,24.25
NY-CMP-1251,Influencer,Youth,"Email, Instagram",English,"Premium Shoppers",2024-09-23,23,17685,1263,539,409,116974,280.19,0.02,12.5
NY-CMP-1252,Influencer,"Working Women",WhatsApp,English,"College Students",2025-04-04,25,33664,2820,1491,1113,459669,57.37,6.2,16.11
NY-CMP-1253,Email,"Tier 2 City Customers",Google,Bengali,Youth,2024-07-23,6,49634,1540,351,122,93818,2180.83,-0.65,4.06
NY-CMP-1254,"Paid Ads","College Students","Facebook, YouTube, Instagram",English,"Tier 2 City Customers",2025-03-27,21,48777,2423,1387,912,694032,159.35,3.78,9.68
NY-CMP-1255,"Paid Ads","Premium Shoppers",YouTube,Bengali,"Tier 2 City Customers",2025-03-21,7,20894,477,193,141,42441,492.89,-0.39,3.88
NY-CMP-1256,Influencer,"Tier 2 City Customers",Google,Tamil,"Working Women",2024-10-05,6,53119,6159,2300,1204,255248,213.16,-0.01,18.19
NY-CMP-1257,"Social Media","Premium Shoppers",Instagram,Tamil,"Working Women",2025-02-19,6,92447,4234,1240,974,319472,270.14,0.21,6.97
NY-CMP-1258,SEO,"College Students","Facebook, WhatsApp",Tamil,"Working Women",2025-03-24,11,49248,1949,1026,499,286925,387.99,0.48,7.05
NY-CMP-1259,Influencer,"Premium Shoppers","WhatsApp, YouTube, Google",English,"Working Women",2024-12-14,7,94671,9175,4410,2499,1766793,52.78,12.4,16.99
NY-CMP-1260,Influencer,"Working Women","Google, YouTube, Facebook",Tamil,Youth,2024-10-27,21,89990,3505,1793,1074,751800,259.5,1.7,7.08
NY-CMP-1261,Influencer,"Premium Shoppers","Google, Facebook",Bengali,"Working Women",2024-10-13,8,92236,6138,1396,633,446898,417.98,0.69,8.85
NY-CMP-1262,Email,"College Students","WhatsApp, Google, Instagram",Bengali,Youth,2024-10-14,10,85818,2392,1112,590,340430,328.28,0.76,4.77
NY-CMP-1263,"Paid Ads",Youth,"WhatsApp, Google",English,"Premium Shoppers",2024-10-09,13,91560,10243,2457,1139,271082,236.57,0.01,15.11
NY-CMP-1264,Email,"Premium Shoppers",WhatsApp,English,"Tier 2 City Customers",2025-02-25,8,56231,3442,1021,492,297168,499.85,0.21,8.81
NY-CMP-1265,Influencer,"Working Women","Google, YouTube, WhatsApp",Hindi,"Tier 2 City Customers",2024-07-27,9,48559,2682,766,326,149634,401.57,0.14,7.77
NY-CMP-1266,"Social Media","Tier 2 City Customers","Email, Facebook, YouTube",English,"Working Women",2025-02-23,11,39008,1024,417,282,170610,208.64,1.9,4.42
NY-CMP-1267,Email,"Tier 2 City Customers","Instagram, Facebook",Tamil,"Premium Shoppers",2024-09-19,16,85319,5490,3051,1666,982940,35.63,15.56,11.96
NY-CMP-1268,"Paid Ads","Premium Shoppers","Facebook, WhatsApp",English,"Working Women",2025-04-09,16,83312,7037,3321,2489,569981,37.95,5.03,15.42
NY-CMP-1269,Email,"College Students","WhatsApp, Facebook",Hindi,Youth,2025-02-15,22,67078,4522,1999,1516,591240,122.57,2.18,11.98
NY-CMP-1270,Email,Youth,YouTube,English,"Premium Shoppers",2024-09-25,14,60317,2337,924,356,86152,607.23,-0.6,6
NY-CMP-1271,SEO,Youth,"WhatsApp, YouTube, Facebook",Bengali,"Working Women",2025-04-15,10,20630,2351,767,456,153216,237.83,0.41,17.32
NY-CMP-1272,"Paid Ads","College Students","WhatsApp, Instagram, Email",Hindi,"College Students",2025-02-23,19,20872,2627,716,430,178450,578.21,-0.28,18.08
NY-CMP-1273,SEO,Youth,"Email, WhatsApp, Facebook",English,"College Students",2024-08-08,24,98542,13381,4936,1982,1393346,48.07,13.62,20.6
NY-CMP-1274,"Paid Ads","Tier 2 City Customers",WhatsApp,English,"Working Women",2025-04-17,13,52848,3450,1531,1131,230724,123.84,0.65,11.57
NY-CMP-1275,Influencer,"Working Women","Google, YouTube",Tamil,"Premium Shoppers",2024-08-19,13,46658,3641,1972,952,482664,112.75,3.5,14.07
NY-CMP-1276,Influencer,"Tier 2 City Customers","Instagram, WhatsApp, YouTube",English,Youth,2024-09-05,19,46123,1253,514,336,206976,474.07,0.3,4.56
NY-CMP-1277,Email,"Working Women","WhatsApp, Instagram",Bengali,"College Students",2024-07-08,29,64268,8323,2092,854,533750,211.58,1.95,17.53
NY-CMP-1278,"Paid Ads",Youth,"WhatsApp, Instagram, Email",English,"College Students",2024-07-27,9,57787,6946,3076,1897,1475866,113.15,5.88,20.63
NY-CMP-1279,"Social Media","Tier 2 City Customers",YouTube,Bengali,Youth,2024-10-12,12,29025,3970,1528,715,536965,165.11,3.55,21.41
NY-CMP-1280,Influencer,"Working Women","Facebook, WhatsApp, YouTube",English,"College Students",2024-09-21,10,30927,3232,1551,621,170775,428.9,-0.36,17.47
NY-CMP-1281,"Paid Ads","College Students",WhatsApp,Hindi,"Tier 2 City Customers",2024-09-06,20,93254,13029,4712,2576,1463168,42.52,12.36,21.79
NY-CMP-1282,Email,"College Students","WhatsApp, Instagram",Bengali,"College Students",2024-12-07,25,56016,3091,1486,1135,500535,201.94,1.18,10.2
NY-CMP-1283,Email,"Tier 2 City Customers","YouTube, Instagram, Facebook",Tamil,"Tier 2 City Customers",2024-11-05,13,19220,1653,651,282,112518,859.57,-0.54,13.45
NY-CMP-1284,Influencer,"College Students","Google, Facebook, WhatsApp",Hindi,"Premium Shoppers",2024-09-01,24,35278,3716,1618,730,182500,85.94,1.91,17.19
NY-CMP-1285,"Paid Ads","College Students","Google, YouTube",English,"Premium Shoppers",2024-11-01,27,34854,3390,1406,686,216776,266.54,0.19,15.73
NY-CMP-1286,Email,"Working Women","Facebook, Google",Bengali,Youth,2024-08-27,11,35580,5336,2493,814,280830,239.72,0.44,24.29
NY-CMP-1287,SEO,"Premium Shoppers","Instagram, YouTube, Google",Bengali,"Premium Shoppers",2025-01-28,22,91042,10498,4250,2279,1620369,48.41,13.69,18.7
NY-CMP-1288,"Paid Ads","College Students","YouTube, WhatsApp, Facebook",English,"College Students",2025-02-20,17,61525,6343,1928,1119,447600,105.67,2.79,15.26
NY-CMP-1289,"Paid Ads","Tier 2 City Customers",Email,Bengali,"Tier 2 City Customers",2024-11-16,27,74488,4731,2727,1189,439930,126.21,1.93,11.61
NY-CMP-1290,"Social Media","Tier 2 City Customers","Google, WhatsApp",Bengali,"College Students",2025-01-15,23,25159,2909,877,580,240120,91.6,3.52,17.35
NY-CMP-1291,"Paid Ads","Tier 2 City Customers",Email,Tamil,"Premium Shoppers",2024-11-09,11,46772,6386,2227,700,298200,99.18,3.3,19.91
NY-CMP-1292,"Social Media","Working Women","WhatsApp, Google, YouTube",English,Youth,2025-01-12,22,28876,1886,1050,417,126351,274.12,0.11,11.61
NY-CMP-1293,"Paid Ads",Youth,"Google, Instagram",English,"Premium Shoppers",2025-05-16,16,83531,6629,2949,1207,743512,56.39,9.92,12.91
NY-CMP-1294,"Social Media","Tier 2 City Customers","Facebook, Google",Tamil,"Premium Shoppers",2025-05-29,15,85396,9341,4162,2304,737280,120.88,1.65,18.51
NY-CMP-1295,SEO,"Working Women","Instagram, WhatsApp",Tamil,"College Students",2025-01-13,9,27477,4033,1486,875,322000,167.57,1.2,23.27
NY-CMP-1296,Email,"College Students",Facebook,Hindi,"Working Women",2025-01-17,13,80276,2108,784,377,195286,285.85,0.81,4.07
NY-CMP-1297,"Social Media","Working Women","Facebook, Email, Instagram",English,Youth,2024-11-08,28,11775,678,333,151,72782,1900.84,-0.75,9.87
NY-CMP-1298,Email,"Premium Shoppers",Google,Tamil,"Premium Shoppers",2024-07-11,14,94198,11282,6768,4987,3520822,53.98,12.08,24.46
NY-CMP-1299,Email,Youth,"Facebook, YouTube",Bengali,"Premium Shoppers",2025-02-10,30,40717,1371,766,320,80320,408.68,-0.39,6.03
NY-CMP-1300,"Social Media",Youth,"Facebook, Instagram",English,"Working Women",2024-12-06,6,36090,3443,1378,1052,727984,119.82,4.78,16.27
NY-CMP-1301,Email,Youth,"Email, YouTube",Bengali,"College Students",2025-01-07,14,67894,5119,1395,1097,482680,272.11,0.62,11.21
NY-CMP-1302,Influencer,"Working Women",YouTube,Hindi,"Tier 2 City Customers",2024-12-01,5,11933,247,67,24,16944,9469.83,-0.93,2.83
NY-CMP-1303,SEO,"Tier 2 City Customers","Email, Google, Facebook",Bengali,"College Students",2025-01-20,12,57286,3832,1225,694,525358,144.47,4.24,10.04
NY-CMP-1304,"Paid Ads",Youth,"Email, Facebook",Tamil,"Premium Shoppers",2025-02-08,8,20748,1524,890,672,321216,210.07,1.28,14.87
NY-CMP-1305,SEO,"Tier 2 City Customers",WhatsApp,English,"Working Women",2024-11-03,10,33973,1434,825,387,182664,464.13,0.02,7.79
NY-CMP-1306,"Paid Ads","College Students",Facebook,English,"Tier 2 City Customers",2025-03-15,30,85229,3739,888,406,312214,646.45,0.19,5.91
NY-CMP-1307,"Paid Ads","College Students","Instagram, Google",Hindi,"College Students",2025-03-23,28,55784,1715,552,401,119097,702.72,-0.58,4.78
NY-CMP-1308,"Social Media","Tier 2 City Customers","YouTube, Facebook",Hindi,"College Students",2024-12-13,17,93707,6645,1491,901,220745,224.2,0.09,9.64
NY-CMP-1309,Influencer,Youth,"Google, YouTube, Email",Hindi,Youth,2025-01-03,26,18590,913,242,164,118408,1813.02,-0.6,7.1
NY-CMP-1310,Influencer,Youth,"Facebook, YouTube",Hindi,"Premium Shoppers",2024-10-30,15,65165,8972,4626,2168,936576,28.7,14.05,24.19
NY-CMP-1311,Email,Youth,"Facebook, WhatsApp, Google",Hindi,"College Students",2024-09-20,22,19401,2469,596,368,263856,424.18,0.69,17.69
NY-CMP-1312,Email,"Tier 2 City Customers","Google, WhatsApp, Instagram",English,Youth,2024-10-05,17,15248,2184,933,315,217665,809.37,-0.15,22.51
NY-CMP-1313,Influencer,"Premium Shoppers","YouTube, Email, Google",Tamil,"Premium Shoppers",2025-03-07,11,14003,1008,524,324,244296,654.25,0.15,13.25
NY-CMP-1314,Influencer,"Premium Shoppers",WhatsApp,Tamil,"Working Women",2025-04-17,13,51751,7300,4116,1982,903792,33.99,12.42,25.89
NY-CMP-1315,Influencer,"College Students","YouTube, Instagram, Email",Hindi,"Premium Shoppers",2024-10-07,5,83712,6057,3113,1943,823832,37.41,10.33,13.28
NY-CMP-1316,SEO,Youth,"Instagram, YouTube",Hindi,"Tier 2 City Customers",2025-05-25,18,75593,11146,6267,3681,1825776,20.14,23.63,27.9
NY-CMP-1317,"Paid Ads","Tier 2 City Customers",Google,Bengali,"Working Women",2024-10-30,27,80323,6530,1735,921,396951,263.31,0.64,11.44
NY-CMP-1318,Influencer,"Tier 2 City Customers",WhatsApp,English,"Premium Shoppers",2025-03-05,12,54342,6000,2550,820,510040,107.33,4.79,17.24
NY-CMP-1319,SEO,"Tier 2 City Customers",WhatsApp,Tamil,"Premium Shoppers",2025-03-07,23,21102,638,320,226,131306,1040.97,-0.44,5.61
NY-CMP-1320,Email,"Tier 2 City Customers","YouTube, WhatsApp, Google",Bengali,"College Students",2025-02-08,8,17656,2463,1226,546,232596,373.75,0.14,23.99
NY-CMP-1321,"Paid Ads","Tier 2 City Customers",Email,Tamil,"Premium Shoppers",2024-08-11,6,86679,11858,2874,1209,869271,186.38,2.86,18.39
NY-CMP-1322,"Social Media","Premium Shoppers",WhatsApp,Bengali,"Tier 2 City Customers",2025-01-16,21,34224,2701,865,307,113590,571.56,-0.35,11.32
NY-CMP-1323,"Paid Ads","Premium Shoppers","YouTube, Facebook",Hindi,"College Students",2025-01-17,16,31178,3122,683,241,52056,267.9,-0.19,12.98
NY-CMP-1324,"Paid Ads","College Students",Instagram,Bengali,"College Students",2024-10-31,13,48495,2914,1509,959,261807,59.01,3.63,11.1
NY-CMP-1325,"Social Media","Working Women",Email,English,"Premium Shoppers",2025-05-01,6,57738,6835,3804,1267,918575,113.24,5.4,20.62
NY-CMP-1326,Email,Youth,Instagram,Tamil,Youth,2024-08-25,26,45538,6239,3142,2456,1151864,99.88,3.7,25.99
NY-CMP-1327,Email,"Working Women","Facebook, YouTube",Tamil,Youth,2024-10-02,12,90104,10352,5900,3134,1855328,74.69,6.93,21.52
NY-CMP-1328,Email,"Working Women","Instagram, YouTube, Email",Tamil,"Working Women",2024-10-06,7,56019,3589,1992,1272,643632,220.46,1.3,12.23
NY-CMP-1329,"Paid Ads","Tier 2 City Customers","WhatsApp, Google",Hindi,"Premium Shoppers",2024-10-02,25,70317,9147,5169,2677,1595492,20.58,27.96,24.17
NY-CMP-1330,Email,Youth,"WhatsApp, Google",Tamil,"Working Women",2025-05-31,13,89786,3987,1097,333,146187,570.86,-0.23,6.03
NY-CMP-1331,"Paid Ads","Premium Shoppers","WhatsApp, Facebook",Tamil,"Working Women",2024-09-13,17,99499,2514,591,191,94163,1349.16,-0.63,3.31
NY-CMP-1332,"Social Media","Working Women","YouTube, Google",Bengali,"Working Women",2024-11-23,30,65455,2458,879,267,126024,1113.49,-0.58,5.51
NY-CMP-1333,Email,"Tier 2 City Customers","Google, Email, Instagram",English,"Tier 2 City Customers",2024-12-03,9,28471,3379,1357,955,666590,184.92,2.77,19.99
NY-CMP-1334,Influencer,"Tier 2 City Customers",Email,Bengali,"Premium Shoppers",2025-02-12,19,52970,7740,3310,2063,596207,50.84,4.68,24.76
NY-CMP-1335,"Social Media","Premium Shoppers",Google,English,"College Students",2025-05-02,5,12068,354,165,90,43920,2582.4,-0.81,5.05
NY-CMP-1336,SEO,Youth,WhatsApp,Hindi,Youth,2025-05-02,10,20256,1915,880,534,110538,347.2,-0.4,16.43
NY-CMP-1337,"Social Media","Premium Shoppers","Google, Facebook",English,"Working Women",2025-03-01,21,13954,447,91,63,15750,1662.97,-0.85,4.31
NY-CMP-1338,Email,"Working Women","WhatsApp, YouTube, Facebook",Bengali,"College Students",2024-12-16,30,21325,1026,284,115,91540,2469.12,-0.68,6.68
NY-CMP-1339,"Social Media",Youth,Facebook,English,Youth,2024-10-15,25,45650,6063,2292,1153,258272,117.65,0.9,20.83
NY-CMP-1340,Email,"Tier 2 City Customers",Facebook,English,"Working Women",2025-03-30,21,63424,8697,1851,689,192231,291.06,-0.04,17.72
NY-CMP-1341,Influencer,"Working Women",YouTube,Tamil,"Premium Shoppers",2025-01-27,19,83020,6018,3480,2162,1707980,69.94,10.3,14.04
NY-CMP-1342,SEO,"College Students","YouTube, Facebook",Bengali,"Working Women",2025-03-21,16,63695,9058,2500,1307,863927,201.57,2.28,20.2
NY-CMP-1343,Influencer,Youth,"YouTube, WhatsApp, Facebook",Bengali,"College Students",2024-08-02,19,91520,5684,2303,1544,500256,60.13,4.39,10.41
NY-CMP-1344,Email,"Tier 2 City Customers","Email, YouTube, Google",Tamil,"Premium Shoppers",2024-11-25,23,62049,4002,1003,377,167388,506.82,-0.12,8.67
NY-CMP-1345,"Social Media","College Students",Facebook,English,"Working Women",2025-01-05,10,87478,8575,2515,1754,577066,53.05,5.2,14.68
NY-CMP-1346,Influencer,"Premium Shoppers","YouTube, Google",Bengali,"Working Women",2025-04-25,12,29681,4145,1448,602,175182,363.63,-0.2,20.87
NY-CMP-1347,"Paid Ads","Working Women","Instagram, WhatsApp, Email",Bengali,"Tier 2 City Customers",2024-08-25,11,41265,4858,2623,1928,1422864,121.7,5.06,22.8
NY-CMP-1348,"Paid Ads","College Students","Instagram, Email",Tamil,Youth,2025-01-18,28,65427,7787,1966,1364,688820,159.14,2.17,16.99
