Campaign_ID,Campaign_Type,Target_Audience,Channel_Used,Language,Customer_Segment,campaign_start_date,campaign_end_date,total_duration_days,impressions,clicks,leads,conversions,revenue,acquisition_cost,avg_roi,avg_engagement_score,ctr,cpc,conversion_rate,cpa,roas
NY-CMP-1240,"Paid Ads",Youth,"Facebook, Google",Tamil,"Working Women",2025-05-18,2025-05-18,25,84708,3733,1601,1059,321936,55.26,4.5,7.55,0.0441,0.014803107420305384,0.2837,0.052181303116147305,5825.841476655809
NY-CMP-1241,"Social Media","College Students",Google,Tamil,"Working Women",2024-12-05,2024-12-05,30,28592,3655,1453,842,261020,293.65,0.06,20.81,0.1278,0.08034199726402189,0.2304,0.3487529691211401,888.8813213008684
NY-CMP-1242,"Paid Ads","Working Women",Email,Tamil,"Premium Shoppers",2024-11-17,2024-11-17,20,56474,1315,761,475,162450,350.97,-0.03,4.52,0.0233,0.26689733840304186,0.3612,0.7388842105263158,462.86007351055645
NY-CMP-1243,"Social Media","Premium Shoppers","Google, Facebook, Instagram",Tamil,"College Students",2025-02-10,2025-02-10,7,70498,8059,3823,2157,832602,68.68,4.62,19.91,0.1143,0.008522149150018614,0.2677,0.03184051923968475,12122.917880023295
NY-CMP-1244,Email,"College Students","Instagram, WhatsApp",Tamil,"Tier 2 City Customers",2024-08-21,2024-08-21,19,14170,1123,228,100,52200,1278.38,-0.59,10.24,0.0793,1.1383615316117544,0.0890,12.783800000000001,40.832929175988355
NY-CMP-1245,"Social Media","Premium Shoppers","YouTube, Instagram",Bengali,"Premium Shoppers",2025-01-06,2025-01-06,30,35819,2513,1247,544,111520,324.24,-0.37,12.02,0.0702,0.12902506963788302,0.2165,0.5960294117647059,343.94275845053045
NY-CMP-1246,"Paid Ads","Working Women","WhatsApp, Instagram",Tamil,Youth,2024-08-03,2024-08-03,12,44138,5531,1679,562,159046,399.45,-0.29,17.61,0.1253,0.07222021334297596,0.1016,0.7107651245551602,398.1624734009263
NY-CMP-1247,"Paid Ads","Working Women","WhatsApp, YouTube, Instagram",Hindi,"College Students",2025-02-19,2025-02-19,11,60321,2514,527,339,213231,279.59,1.25,5.6,0.0417,0.1112132060461416,0.1348,0.8247492625368731,762.6560320469259
NY-CMP-1248,"Paid Ads","Tier 2 City Customers","YouTube, Instagram, WhatsApp",Tamil,"Premium Shoppers",2024-09-23,2024-09-23,6,51089,2937,1760,1348,624124,94.97,3.88,11.83,0.0575,0.03233571671773919,0.4590,0.07045252225519288,6571.801621564705
NY-CMP-1249,Influencer,"Premium Shoppers",Email,Bengali,"Premium Shoppers",2025-02-12,2025-02-12,6,74805,9095,2883,1924,463684,50.52,3.77,18.58,0.1216,0.0055547003848268285,0.2115,0.02625779625779626,9178.226444972288
NY-CMP-1250,Influencer,Youth,"WhatsApp, Facebook",Tamil,"Working Women",2025-06-07,2025-06-07,18,35779,5225,2594,856,259368,194.53,0.56,24.25,0.1460,0.03723062200956938,0.1638,0.22725467289719625,1333.3059168251684
NY-CMP-1251,Influencer,Youth,"Email, Instagram",English,"Premium Shoppers",2024-09-23,2024-09-23,23,17685,1263,539,409,116974,280.19,0.02,12.5,0.0714,0.2218448139350752,0.3238,0.6850611246943765,417.48099503908065
NY-CMP-1252,Influencer,"Working Women",WhatsApp,English,"College Students",2025-04-04,2025-04-04,25,33664,2820,1491,1113,459669,57.37,6.2,16.11,0.0838,0.020343971631205673,0.3947,0.05154537286612758,8012.358375457557
NY-CMP-1253,Email,"Tier 2 City Customers",Google,Bengali,Youth,2024-07-23,2024-07-23,6,49634,1540,351,122,93818,2180.83,-0.65,4.06,0.0310,1.4161233766233765,0.0792,17.875655737704918,43.01940087031085
NY-CMP-1254,"Paid Ads","College Students","Facebook, YouTube, Instagram",English,"Tier 2 City Customers",2025-03-27,2025-03-27,21,48777,2423,1387,912,694032,159.35,3.78,9.68,0.0497,0.06576557985967808,0.3764,0.17472587719298244,4355.393787260747
NY-CMP-1255,"Paid Ads","Premium Shoppers",YouTube,Bengali,"Tier 2 City Customers",2025-03-21,2025-03-21,7,20894,477,193,141,42441,492.89,-0.39,3.88,0.0228,1.0333123689727464,0.2956,3.495673758865248,86.10643348414453
NY-CMP-1256,Influencer,"Tier 2 City Customers",Google,Tamil,"Working Women",2024-10-05,2024-10-05,6,53119,6159,2300,1204,255248,213.16,-0.01,18.19,0.1159,0.0346095145315798,0.1955,0.17704318936877075,1197.4479264402328
NY-CMP-1257,"Social Media","Premium Shoppers",Instagram,Tamil,"Working Women",2025-02-19,2025-02-19,6,92447,4234,1240,974,319472,270.14,0.21,6.97,0.0458,0.06380255077940482,0.2300,0.2773511293634497,1182.6164211149776
NY-CMP-1258,SEO,"College Students","Facebook, WhatsApp",Tamil,"Working Women",2025-03-24,2025-03-24,11,49248,1949,1026,499,286925,387.99,0.48,7.05,0.0396,0.19907131862493588,0.2560,0.7775350701402806,739.5164823835665
NY-CMP-1259,Influencer,"Premium Shoppers","WhatsApp, YouTube, Google",English,"Working Women",2024-12-14,2024-12-14,7,94671,9175,4410,2499,1766793,52.78,12.4,16.99,0.0969,0.005752588555858311,0.2724,0.02112044817927171,33474.668435013264
NY-CMP-1260,Influencer,"Working Women","Google, YouTube, Facebook",Tamil,Youth,2024-10-27,2024-10-27,21,89990,3505,1793,1074,751800,259.5,1.7,7.08,0.0389,0.07403708987161198,0.3064,0.24162011173184358,2897.1098265895953
NY-CMP-1261,Influencer,"Premium Shoppers","Google, Facebook",Bengali,"Working Women",2024-10-13,2024-10-13,8,92236,6138,1396,633,446898,417.98,0.69,8.85,0.0665,0.0680971000325839,0.1031,0.6603159557661927,1069.1851284750467
NY-CMP-1262,Email,"College Students","WhatsApp, Google, Instagram",Bengali,Youth,2024-10-14,2024-10-14,10,85818,2392,1112,590,340430,328.28,0.76,4.77,0.0279,0.13724080267558528,0.2467,0.5564067796610169,1037.0110880955283
NY-CMP-1263,"Paid Ads",Youth,"WhatsApp, Google",English,"Premium Shoppers",2024-10-09,2024-10-09,13,91560,10243,2457,1139,271082,236.57,0.01,15.11,0.1119,0.023095772722835105,0.1112,0.20769973661106234,1145.8849389187133
NY-CMP-1264,Email,"Premium Shoppers",WhatsApp,English,"Tier 2 City Customers",2025-02-25,2025-02-25,8,56231,3442,1021,492,297168,499.85,0.21,8.81,0.0612,0.14522080185938407,0.1429,1.0159552845528457,594.5143543062918
NY-CMP-1265,Influencer,"Working Women","Google, YouTube, WhatsApp",Hindi,"Tier 2 City Customers",2024-07-27,2024-07-27,9,48559,2682,766,326,149634,401.57,0.14,7.77,0.0552,0.14972781506338553,0.1216,1.2318098159509203,372.62245685683695
NY-CMP-1266,"Social Media","Tier 2 City Customers","Email, Facebook, YouTube",English,"Working Women",2025-02-23,2025-02-23,11,39008,1024,417,282,170610,208.64,1.9,4.42,0.0263,0.20375,0.2754,0.7398581560283688,817.724309815951
NY-CMP-1267,Email,"Tier 2 City Customers","Instagram, Facebook",Tamil,"Premium Shoppers",2024-09-19,2024-09-19,16,85319,5490,3051,1666,982940,35.63,15.56,11.96,0.0643,0.006489981785063752,0.3035,0.02138655462184874,27587.426326129666
NY-CMP-1268,"Paid Ads","Premium Shoppers","Facebook, WhatsApp",English,"Working Women",2025-04-09,2025-04-09,16,83312,7037,3321,2489,569981,37.95,5.03,15.42,0.0845,0.005392923120648004,0.3537,0.015247087183607877,15019.262187088272
NY-CMP-1269,Email,"College Students","WhatsApp, Facebook",Hindi,Youth,2025-02-15,2025-02-15,22,67078,4522,1999,1516,591240,122.57,2.18,11.98,0.0674,0.027105263157894736,0.3352,0.0808509234828496,4823.692583829648
NY-CMP-1270,Email,Youth,YouTube,English,"Premium Shoppers",2024-09-25,2024-09-25,14,60317,2337,924,356,86152,607.23,-0.6,6,0.0387,0.2598331193838254,0.1523,1.7057022471910113,141.87704823542973
NY-CMP-1271,SEO,Youth,"WhatsApp, YouTube, Facebook",Bengali,"Working Women",2025-04-15,2025-04-15,10,20630,2351,767,456,153216,237.83,0.41,17.32,0.1140,0.1011612079965972,0.1940,0.5215570175438596,644.2248665012823
NY-CMP-1272,"Paid Ads","College Students","WhatsApp, Instagram, Email",Hindi,"College Students",2025-02-23,2025-02-23,19,20872,2627,716,430,178450,578.21,-0.28,18.08,0.1259,0.2201027788351732,0.1637,1.3446744186046513,308.6248940696287
NY-CMP-1273,SEO,Youth,"Email, WhatsApp, Facebook",English,"College Students",2024-08-08,2024-08-08,24,98542,13381,4936,1982,1393346,48.07,13.62,20.6,0.1358,0.0035924071444585607,0.1481,0.024253279515640765,28985.770750988144
NY-CMP-1274,"Paid Ads","Tier 2 City Customers",WhatsApp,English,"Working Women",2025-04-17,2025-04-17,13,52848,3450,1531,1131,230724,123.84,0.65,11.57,0.0653,0.035895652173913044,0.3278,0.10949602122015915,1863.081395348837
NY-CMP-1275,Influencer,"Working Women","Google, YouTube",Tamil,"Premium Shoppers",2024-08-19,2024-08-19,13,46658,3641,1972,952,482664,112.75,3.5,14.07,0.0780,0.030966767371601207,0.2615,0.11843487394957983,4280.8337028824835
NY-CMP-1276,Influencer,"Tier 2 City Customers","Instagram, WhatsApp, YouTube",English,Youth,2024-09-05,2024-09-05,19,46123,1253,514,336,206976,474.07,0.3,4.56,0.0272,0.37834796488427774,0.2682,1.410922619047619,436.59375197755605
NY-CMP-1277,Email,"Working Women","WhatsApp, Instagram",Bengali,"College Students",2024-07-08,2024-07-08,29,64268,8323,2092,854,533750,211.58,1.95,17.53,0.1295,0.025421122191517483,0.1026,0.24775175644028105,2522.686454296247
NY-CMP-1278,"Paid Ads",Youth,"WhatsApp, Instagram, Email",English,"College Students",2024-07-27,2024-07-27,9,57787,6946,3076,1897,1475866,113.15,5.88,20.63,0.1202,0.016289951050964584,0.2731,0.059646810753821826,13043.446752098984
NY-CMP-1279,"Social Media","Tier 2 City Customers",YouTube,Bengali,Youth,2024-10-12,2024-10-12,12,29025,3970,1528,715,536965,165.11,3.55,21.41,0.1368,0.04158942065491184,0.1801,0.23092307692307695,3252.1652231845433
NY-CMP-1280,Influencer,"Working Women","Facebook, WhatsApp, YouTube",English,"College Students",2024-09-21,2024-09-21,10,30927,3232,1551,621,170775,428.9,-0.36,17.47,0.1045,0.13270420792079207,0.1921,0.6906602254428341,398.16973653532295
NY-CMP-1281,"Paid Ads","College Students",WhatsApp,Hindi,"Tier 2 City Customers",2024-09-06,2024-09-06,20,93254,13029,4712,2576,1463168,42.52,12.36,21.79,0.1397,0.0032634891396116357,0.1977,0.016506211180124224,34411.28880526811
NY-CMP-1282,Email,"College Students","WhatsApp, Instagram",Bengali,"College Students",2024-12-07,2024-12-07,25,56016,3091,1486,1135,500535,201.94,1.18,10.2,0.0552,0.06533160789388548,0.3672,0.177920704845815,2478.632267010003
NY-CMP-1283,Email,"Tier 2 City Customers","YouTube, Instagram, Facebook",Tamil,"Tier 2 City Customers",2024-11-05,2024-11-05,13,19220,1653,651,282,112518,859.57,-0.54,13.45,0.0860,0.5200060496067755,0.1706,3.0481205673758867,130.90033388787415
NY-CMP-1284,Influencer,"College Students","Google, Facebook, WhatsApp",Hindi,"Premium Shoppers",2024-09-01,2024-09-01,24,35278,3716,1618,730,182500,85.94,1.91,17.19,0.1053,0.023127018299246502,0.1964,0.11772602739726028,2123.5745869211078
NY-CMP-1285,"Paid Ads","College Students","Google, YouTube",English,"Premium Shoppers",2024-11-01,2024-11-01,27,34854,3390,1406,686,216776,266.54,0.19,15.73,0.0973,0.07862536873156342,0.2024,0.38854227405247815,813.2963157499812
NY-CMP-1286,Email,"Working Women","Facebook, Google",Bengali,Youth,2024-08-27,2024-08-27,11,35580,5336,2493,814,280830,239.72,0.44,24.29,0.1500,0.04492503748125937,0.1525,0.29449631449631447,1171.4917403637578
NY-CMP-1287,SEO,"Premium Shoppers","Instagram, YouTube, Google",Bengali,"Premium Shoppers",2025-01-28,2025-01-28,22,91042,10498,4250,2279,1620369,48.41,13.69,18.7,0.1153,0.004611354543722614,0.2171,0.021241772707327775,33471.78268952696
NY-CMP-1288,"Paid Ads","College Students","YouTube, WhatsApp, Facebook",English,"College Students",2025-02-20,2025-02-20,17,61525,6343,1928,1119,447600,105.67,2.79,15.26,0.1031,0.016659309475011826,0.1764,0.0944325290437891,4235.828522759534
NY-CMP-1289,"Paid Ads","Tier 2 City Customers",Email,Bengali,"Tier 2 City Customers",2024-11-16,2024-11-16,27,74488,4731,2727,1189,439930,126.21,1.93,11.61,0.0635,0.02667723525681674,0.2513,0.106148023549201,3485.698439109421
NY-CMP-1290,"Social Media","Tier 2 City Customers","Google, WhatsApp",Bengali,"College Students",2025-01-15,2025-01-15,23,25159,2909,877,580,240120,91.6,3.52,17.35,0.1156,0.03148848401512547,0.1994,0.1579310344827586,2621.397379912664
NY-CMP-1291,"Paid Ads","Tier 2 City Customers",Email,Tamil,"Premium Shoppers",2024-11-09,2024-11-09,11,46772,6386,2227,700,298200,99.18,3.3,19.91,0.1365,0.015530848731600377,0.1096,0.1416857142857143,3006.6545674531153
NY-CMP-1292,"Social Media","Working Women","WhatsApp, Google, YouTube",English,Youth,2025-01-12,2025-01-12,22,28876,1886,1050,417,126351,274.12,0.11,11.61,0.0653,0.14534464475079534,0.2211,0.6573621103117506,460.9331679556399
NY-CMP-1293,"Paid Ads",Youth,"Google, Instagram",English,"Premium Shoppers",2025-05-16,2025-05-16,16,83531,6629,2949,1207,743512,56.39,9.92,12.91,0.0794,0.008506562075727862,0.1821,0.04671913835956918,13185.174676361057
NY-CMP-1294,"Social Media","Tier 2 City Customers","Facebook, Google",Tamil,"Premium Shoppers",2025-05-29,2025-05-29,15,85396,9341,4162,2304,737280,120.88,1.65,18.51,0.1094,0.012940798629697034,0.2467,0.05246527777777778,6099.272005294507
NY-CMP-1295,SEO,"Working Women","Instagram, WhatsApp",Tamil,"College Students",2025-01-13,2025-01-13,9,27477,4033,1486,875,322000,167.57,1.2,23.27,0.1468,0.04154971485246715,0.2170,0.19150857142857142,1921.5850092498658
NY-CMP-1296,Email,"College Students",Facebook,Hindi,"Working Women",2025-01-17,2025-01-17,13,80276,2108,784,377,195286,285.85,0.81,4.07,0.0263,0.1356024667931689,0.1788,0.7582228116710876,683.1764911666958
NY-CMP-1297,"Social Media","Working Women","Facebook, Email, Instagram",English,Youth,2024-11-08,2024-11-08,28,11775,678,333,151,72782,1900.84,-0.75,9.87,0.0576,2.8035988200589967,0.2227,12.588344370860927,38.28938784958229
NY-CMP-1298,Email,"Premium Shoppers",Google,Tamil,"Premium Shoppers",2024-07-11,2024-07-11,14,94198,11282,6768,4987,3520822,53.98,12.08,24.46,0.1198,0.00478461265733026,0.4420,0.010824142771205133,65224.5646535754
NY-CMP-1299,Email,Youth,"Facebook, YouTube",Bengali,"Premium Shoppers",2025-02-10,2025-02-10,30,40717,1371,766,320,80320,408.68,-0.39,6.03,0.0337,0.29808898614150253,0.2334,1.277125,196.5351864539493
NY-CMP-1300,"Social Media",Youth,"Facebook, Instagram",English,"Working Women",2024-12-06,2024-12-06,6,36090,3443,1378,1052,727984,119.82,4.78,16.27,0.0954,0.03480104559976764,0.3055,0.11389733840304182,6075.6468035386415
NY-CMP-1301,Email,Youth,"Email, YouTube",Bengali,"College Students",2025-01-07,2025-01-07,14,67894,5119,1395,1097,482680,272.11,0.62,11.21,0.0754,0.05315686657550303,0.2143,0.248049225159526,1773.8414611737899
NY-CMP-1302,Influencer,"Working Women",YouTube,Hindi,"Tier 2 City Customers",2024-12-01,2024-12-01,5,11933,247,67,24,16944,9469.83,-0.93,2.83,0.0207,38.339392712550605,0.0972,394.57625,1.789261264457757
NY-CMP-1303,SEO,"Tier 2 City Customers","Email, Google, Facebook",Bengali,"College Students",2025-01-20,2025-01-20,12,57286,3832,1225,694,525358,144.47,4.24,10.04,0.0669,0.03770093945720251,0.1811,0.2081700288184438,3636.450474146882
NY-CMP-1304,"Paid Ads",Youth,"Email, Facebook",Tamil,"Premium Shoppers",2025-02-08,2025-02-08,8,20748,1524,890,672,321216,210.07,1.28,14.87,0.0735,0.13784120734908137,0.4409,0.3126041666666667,1529.090303232256
NY-CMP-1305,SEO,"Tier 2 City Customers",WhatsApp,English,"Working Women",2024-11-03,2024-11-03,10,33973,1434,825,387,182664,464.13,0.02,7.79,0.0422,0.3236610878661088,0.2699,1.1993023255813953,393.56214853597055
NY-CMP-1306,"Paid Ads","College Students",Facebook,English,"Tier 2 City Customers",2025-03-15,2025-03-15,30,85229,3739,888,406,312214,646.45,0.19,5.91,0.0439,0.17289382187750738,0.1086,1.592241379310345,482.96697347049263
NY-CMP-1307,"Paid Ads","College Students","Instagram, Google",Hindi,"College Students",2025-03-23,2025-03-23,28,55784,1715,552,401,119097,702.72,-0.58,4.78,0.0307,0.40974927113702625,0.2338,1.752418952618454,169.48002049180326
NY-CMP-1308,"Social Media","Tier 2 City Customers","YouTube, Facebook",Hindi,"College Students",2024-12-13,2024-12-13,17,93707,6645,1491,901,220745,224.2,0.09,9.64,0.0709,0.033739653875094054,0.1356,0.248834628190899,984.5896520963425
NY-CMP-1309,Influencer,Youth,"Google, YouTube, Email",Hindi,Youth,2025-01-03,2025-01-03,26,18590,913,242,164,118408,1813.02,-0.6,7.1,0.0491,1.9857831325301205,0.1796,11.055,65.30981456354591
NY-CMP-1310,Influencer,Youth,"Facebook, YouTube",Hindi,"Premium Shoppers",2024-10-30,2024-10-30,15,65165,8972,4626,2168,936576,28.7,14.05,24.19,0.1377,0.0031988408381631744,0.2416,0.0132380073800738,32633.310104529617
NY-CMP-1311,Email,Youth,"Facebook, WhatsApp, Google",Hindi,"College Students",2024-09-20,2024-09-20,22,19401,2469,596,368,263856,424.18,0.69,17.69,0.1273,0.17180234912920211,0.1490,1.152663043478261,622.0378141355085
NY-CMP-1312,Email,"Tier 2 City Customers","Google, WhatsApp, Instagram",English,Youth,2024-10-05,2024-10-05,17,15248,2184,933,315,217665,809.37,-0.15,22.51,0.1432,0.3705906593406593,0.1442,2.5694285714285714,268.93139108195265
NY-CMP-1313,Influencer,"Premium Shoppers","YouTube, Email, Google",Tamil,"Premium Shoppers",2025-03-07,2025-03-07,11,14003,1008,524,324,244296,654.25,0.15,13.25,0.0720,0.6490575396825397,0.3214,2.01929012345679,373.3985479556744
NY-CMP-1314,Influencer,"Premium Shoppers",WhatsApp,Tamil,"Working Women",2025-04-17,2025-04-17,13,51751,7300,4116,1982,903792,33.99,12.42,25.89,0.1411,0.004656164383561644,0.2715,0.017149344096871848,26589.938217122683
NY-CMP-1315,Influencer,"College Students","YouTube, Instagram, Email",Hindi,"Premium Shoppers",2024-10-07,2024-10-07,5,83712,6057,3113,1943,823832,37.41,10.33,13.28,0.0724,0.006176324913323427,0.3208,0.019253731343283582,22021.70542635659
NY-CMP-1316,SEO,Youth,"Instagram, YouTube",Hindi,"Tier 2 City Customers",2025-05-25,2025-05-25,18,75593,11146,6267,3681,1825776,20.14,23.63,27.9,0.1474,0.00180692625157007,0.3303,0.005471339309970117,90654.22045680237
NY-CMP-1317,"Paid Ads","Tier 2 City Customers",Google,Bengali,"Working Women",2024-10-30,2024-10-30,27,80323,6530,1735,921,396951,263.31,0.64,11.44,0.0813,0.04032312404287902,0.1410,0.2858957654723127,1507.5424404694086
NY-CMP-1318,Influencer,"Tier 2 City Customers",WhatsApp,English,"Premium Shoppers",2025-03-05,2025-03-05,12,54342,6000,2550,820,510040,107.33,4.79,17.24,0.1104,0.017888333333333332,0.1367,0.13089024390243903,4752.073045746763
NY-CMP-1319,SEO,"Tier 2 City Customers",WhatsApp,Tamil,"Premium Shoppers",2025-03-07,2025-03-07,23,21102,638,320,226,131306,1040.97,-0.44,5.61,0.0302,1.6316144200626959,0.3542,4.606061946902655,126.13812117544214
NY-CMP-1320,Email,"Tier 2 City Customers","YouTube, WhatsApp, Google",Bengali,"College Students",2025-02-08,2025-02-08,8,17656,2463,1226,546,232596,373.75,0.14,23.99,0.1395,0.151745838408445,0.2217,0.6845238095238095,622.3304347826087
NY-CMP-1321,"Paid Ads","Tier 2 City Customers",Email,Tamil,"Premium Shoppers",2024-08-11,2024-08-11,6,86679,11858,2874,1209,869271,186.38,2.86,18.39,0.1368,0.015717658964412212,0.1020,0.15416046319272125,4663.971456164824
NY-CMP-1322,"Social Media","Premium Shoppers",WhatsApp,Bengali,"Tier 2 City Customers",2025-01-16,2025-01-16,21,34224,2701,865,307,113590,571.56,-0.35,11.32,0.0789,0.21161051462421324,0.1137,1.8617589576547229,198.73679053817625
NY-CMP-1323,"Paid Ads","Premium Shoppers","YouTube, Facebook",Hindi,"College Students",2025-01-17,2025-01-17,16,31178,3122,683,241,52056,267.9,-0.19,12.98,0.1001,0.08581037796284433,0.0772,1.1116182572614106,194.31131019036957
NY-CMP-1324,"Paid Ads","College Students",Instagram,Bengali,"College Students",2024-10-31,2024-10-31,13,48495,2914,1509,959,261807,59.01,3.63,11.1,0.0601,0.02025051475634866,0.3291,0.061532846715328465,4436.654804270463
NY-CMP-1325,"Social Media","Working Women",Email,English,"Premium Shoppers",2025-05-01,2025-05-01,6,57738,6835,3804,1267,918575,113.24,5.4,20.62,0.1184,0.0165676664228237,0.1854,0.08937647987371744,8111.75379724479
NY-CMP-1326,Email,Youth,Instagram,Tamil,Youth,2024-08-25,2024-08-25,26,45538,6239,3142,2456,1151864,99.88,3.7,25.99,0.1370,0.01600897579740343,0.3937,0.04066775244299674,11532.478974769725
NY-CMP-1327,Email,"Working Women","Facebook, YouTube",Tamil,Youth,2024-10-02,2024-10-02,12,90104,10352,5900,3134,1855328,74.69,6.93,21.52,0.1149,0.0072150309119010814,0.3027,0.02383216336949585,24840.380238318383
NY-CMP-1328,Email,"Working Women","Instagram, YouTube, Email",Tamil,"Working Women",2024-10-06,2024-10-06,7,56019,3589,1992,1272,643632,220.46,1.3,12.23,0.0641,0.061426581220395654,0.3544,0.1733176100628931,2919.495600108863
NY-CMP-1329,"Paid Ads","Tier 2 City Customers","WhatsApp, Google",Hindi,"Premium Shoppers",2024-10-02,2024-10-02,25,70317,9147,5169,2677,1595492,20.58,27.96,24.17,0.1301,0.0022499180059035746,0.2927,0.007687710123272319,77526.33624878523
NY-CMP-1330,Email,Youth,"WhatsApp, Google",Tamil,"Working Women",2025-05-31,2025-05-31,13,89786,3987,1097,333,146187,570.86,-0.23,6.03,0.0444,0.14318033609229996,0.0835,1.7142942942942943,256.08205164138315
NY-CMP-1331,"Paid Ads","Premium Shoppers","WhatsApp, Facebook",Tamil,"Working Women",2024-09-13,2024-09-13,17,99499,2514,591,191,94163,1349.16,-0.63,3.31,0.0253,0.5366587112171838,0.0760,7.063664921465969,69.79379762222419
NY-CMP-1332,"Social Media","Working Women","YouTube, Google",Bengali,"Working Women",2024-11-23,2024-11-23,30,65455,2458,879,267,126024,1113.49,-0.58,5.51,0.0376,0.453006509357201,0.1086,4.170374531835206,113.17928315476564
NY-CMP-1333,Email,"Tier 2 City Customers","Google, Email, Instagram",English,"Tier 2 City Customers",2024-12-03,2024-12-03,9,28471,3379,1357,955,666590,184.92,2.77,19.99,0.1187,0.05472625036993193,0.2826,0.19363350785340314,3604.7479991347614
NY-CMP-1334,Influencer,"Tier 2 City Customers",Email,Bengali,"Premium Shoppers",2025-02-12,2025-02-12,19,52970,7740,3310,2063,596207,50.84,4.68,24.76,0.1461,0.006568475452196383,0.2665,0.024643722733882698,11727.124311565696
NY-CMP-1335,"Social Media","Premium Shoppers",Google,English,"College Students",2025-05-02,2025-05-02,5,12068,354,165,90,43920,2582.4,-0.81,5.05,0.0293,7.294915254237289,0.2542,28.693333333333335,17.007434944237918
NY-CMP-1336,SEO,Youth,WhatsApp,Hindi,Youth,2025-05-02,2025-05-02,10,20256,1915,880,534,110538,347.2,-0.4,16.43,0.0945,0.18130548302872063,0.2789,0.650187265917603,318.36981566820276
NY-CMP-1337,"Social Media","Premium Shoppers","Google, Facebook",English,"Working Women",2025-03-01,2025-03-01,21,13954,447,91,63,15750,1662.97,-0.85,4.31,0.0320,3.720290827740492,0.1409,26.396349206349207,9.47100669284473
NY-CMP-1338,Email,"Working Women","WhatsApp, YouTube, Facebook",Bengali,"College Students",2024-12-16,2024-12-16,30,21325,1026,284,115,91540,2469.12,-0.68,6.68,0.0481,2.406549707602339,0.1121,21.470608695652174,37.07393727319855
NY-CMP-1339,"Social Media",Youth,Facebook,English,Youth,2024-10-15,2024-10-15,25,45650,6063,2292,1153,258272,117.65,0.9,20.83,0.1328,0.019404585188850406,0.1902,0.1020381613183001,2195.257118572036
NY-CMP-1340,Email,"Tier 2 City Customers",Facebook,English,"Working Women",2025-03-30,2025-03-30,21,63424,8697,1851,689,192231,291.06,-0.04,17.72,0.1371,0.033466712659537774,0.0792,0.42243831640058055,660.4514533085961
NY-CMP-1341,Influencer,"Working Women",YouTube,Tamil,"Premium Shoppers",2025-01-27,2025-01-27,19,83020,6018,3480,2162,1707980,69.94,10.3,14.04,0.0725,0.011621801262878033,0.3593,0.032349676225716925,24420.646268229913
NY-CMP-1342,SEO,"College Students","YouTube, Facebook",Bengali,"Working Women",2025-03-21,2025-03-21,16,63695,9058,2500,1307,863927,201.57,2.28,20.2,0.1422,0.022253256789578273,0.1443,0.15422341239479723,4285.9899786674605
NY-CMP-1343,Influencer,Youth,"YouTube, WhatsApp, Facebook",Bengali,"College Students",2024-08-02,2024-08-02,19,91520,5684,2303,1544,500256,60.13,4.39,10.41,0.0621,0.010578817733990149,0.2716,0.03894430051813472,8319.574255779145
NY-CMP-1344,Email,"Tier 2 City Customers","Email, YouTube, Google",Tamil,"Premium Shoppers",2024-11-25,2024-11-25,23,62049,4002,1003,377,167388,506.82,-0.12,8.67,0.0645,0.1266416791604198,0.0942,1.3443501326259948,330.2711021664496
NY-CMP-1345,"Social Media","College Students",Facebook,English,"Working Women",2025-01-05,2025-01-05,10,87478,8575,2515,1754,577066,53.05,5.2,14.68,0.0980,0.006186588921282798,0.2045,0.030245153933865447,10877.775683317626
NY-CMP-1346,Influencer,"Premium Shoppers","YouTube, Google",Bengali,"Working Women",2025-04-25,2025-04-25,12,29681,4145,1448,602,175182,363.63,-0.2,20.87,0.1397,0.08772738238841978,0.1452,0.6040365448504983,481.75893078128865
NY-CMP-1347,"Paid Ads","Working Women","Instagram, WhatsApp, Email",Bengali,"Tier 2 City Customers",2024-08-25,2024-08-25,11,41265,4858,2623,1928,1422864,121.7,5.06,22.8,0.1177,0.02505146150679292,0.3969,0.06312240663900415,11691.569433032046
NY-CMP-1348,"Paid Ads","College Students","Instagram, Email",Tamil,Youth,2025-01-18,2025-01-18,28,65427,7787,1966,1364,688820,159.14,2.17,16.99,0.1190,0.020436625144471553,0.1752,0.1166715542521994,4328.39009677014
NY-CMP-1349,"Social Media","College Students","Google, Facebook",Bengali,"College Students",2024-07-11,2024-07-11,5,95791,9536,3824,1970,525990,70.57,2.78,16,0.0996,0.007400377516778522,0.2066,0.03582233502538071,7453.450474705966
NY-CMP-1350,"Paid Ads","Working Women","WhatsApp, Email",Tamil,"College Students",2024-09-08,2024-09-08,7,73991,6096,1885,1199,416053,59.64,4.82,12.41,0.0824,0.009783464566929134,0.1967,0.04974145120934112,6976.073105298457
NY-CMP-1351,"Social Media","Working Women",Email,English,"Tier 2 City Customers",2025-06-11,2025-06-11,8,79210,9451,2672,1389,297246,165.27,0.29,17.06,0.1193,0.01748703840863401,0.1470,0.11898488120950325,1798.5478308222907
NY-CMP-1352,SEO,"Premium Shoppers","Google, YouTube",English,Youth,2024-10-25,2024-10-25,26,25236,778,180,130,103480,422.23,0.89,4.31,0.0308,0.5427120822622108,0.1671,3.247923076923077,245.07969590033866
